time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,shortwave_radiation_sum,sunshine_duration,weather_code,target
2019-01-01,21.8,6.5,14.3,20.9,4.3,94,39,68,4.9,11.4,307,0.0,0.0,0.0,0.0,13.81,35717.66,0,21.7
2019-01-02,22.6,8.0,14.6,21.7,6.0,95,41,71,6.4,9.8,43,0.0,0.0,0.0,0.0,13.72,35757.15,0,21.2
2019-01-03,22.6,7.8,14.6,21.2,6.2,97,41,73,6.5,13.4,292,0.0,0.0,0.0,0.0,13.86,35797.77,0,21.6
2019-01-04,22.2,8.0,14.7,21.6,6.1,96,35,69,5.8,10.3,327,0.0,0.0,0.0,0.0,13.65,33561.61,3,21.5
2019-01-05,23.4,9.9,16.0,21.5,8.2,86,42,66,7.9,16.6,85,0.0,0.0,0.0,0.0,13.27,33308.56,3,23.3
2019-01-06,23.2,12.2,16.8,23.3,10.5,85,49,68,9.9,18.8,73,1.2,1.2,0.0,6.0,12.15,35925.41,51,19.1
2019-01-07,21.2,10.5,15.2,19.1,9.6,97,48,77,9.7,19.2,340,0.0,0.0,0.0,0.0,13.62,35969.53,0,19.6
2019-01-08,21.5,10.2,14.9,19.6,8.9,93,41,71,6.4,15.0,297,0.0,0.0,0.0,0.0,13.97,36000.0,0,18.3
2019-01-09,20.8,8.7,13.8,18.3,7.1,93,42,70,8.2,17.7,290,0.0,0.0,0.0,0.0,14.25,36000.0,0,18.9
2019-01-10,20.7,7.8,14.3,18.9,6.1,92,38,64,5.1,12.3,300,0.0,0.0,0.0,0.0,14.48,36000.0,0,20.0
2019-01-11,20.9,7.6,13.6,20.0,5.6,94,40,69,6.7,9.8,34,0.0,0.0,0.0,0.0,14.39,36000.0,3,20.8
2019-01-12,21.5,8.1,14.1,20.8,5.7,93,42,70,6.3,9.8,56,0.0,0.0,0.0,0.0,14.34,36000.0,2,22.1
2019-01-13,23.1,9.8,15.4,22.1,8.3,93,45,72,5.7,13.2,25,0.0,0.0,0.0,0.0,14.11,36000.0,0,19.6
2019-01-14,22.5,10.6,15.3,19.6,8.6,94,33,64,10.6,20.1,300,0.0,0.0,0.0,0.0,14.8,36000.0,0,16.2
2019-01-15,19.2,7.6,12.4,16.2,4.1,72,34,55,7.1,15.0,273,0.0,0.0,0.0,0.0,14.11,36000.0,3,19.0
2019-01-16,20.5,5.7,13.1,19.0,3.4,92,35,62,5.8,8.3,314,0.0,0.0,0.0,0.0,14.89,36000.0,2,20.2
2019-01-17,22.0,7.3,13.5,20.2,4.9,92,36,68,6.6,12.5,335,0.0,0.0,0.0,0.0,14.97,36000.0,0,20.6
2019-01-18,22.2,7.4,13.9,20.6,5.5,93,38,71,6.4,13.6,299,0.0,0.0,0.0,0.0,15.25,36000.0,0,21.9
2019-01-19,23.1,7.6,14.3,21.9,5.7,95,37,72,6.9,10.5,281,0.0,0.0,0.0,0.0,15.04,36000.0,2,24.9
2019-01-20,25.1,8.2,16.4,24.9,6.6,93,40,68,6.4,9.2,226,0.0,0.0,0.0,0.0,15.07,36000.0,0,25.6
